Timestamp,OpModeStatus,Loop Counter,Intake,,Max Velocity no drive (ticks per second),Max Velocity with drive (ticks per second),537.6,ticks/rev,1.601666667,degrees per tick
13.817,RUNNING,0,0,,1940,1800,,,,
13.85,RUNNING,1,460,,Degrees per second,Degrees per second,,,,
13.875,RUNNING,2,920,,3107,2883,,,,
13.903,RUNNING,3,1280,,,,,,,
13.93,RUNNING,4,1480,,,,,,,
13.959,RUNNING,5,1680,,,,,,,
13.986,RUNNING,6,1720,,,,,,,
14.011,RUNNING,7,1740,,,,,,,
14.037,RUNNING,8,1780,,,,,,,
14.064,RUNNING,9,1820,,,,,,,
14.089,RUNNING,10,1820,,,,,,,
14.118,RUNNING,11,1840,,,,,,,
14.142,RUNNING,12,1840,,,,,,,
14.169,RUNNING,13,1820,,,,,,,
14.195,RUNNING,14,1820,,,,,,,
14.225,RUNNING,15,1840,,,,,,,
14.249,RUNNING,16,1820,,,,,,,
14.275,RUNNING,17,1860,,,,,,,
14.299,RUNNING,18,1860,,,,,,,
14.324,RUNNING,19,1820,,,,,,,
14.349,RUNNING,20,1840,,,,,,,
14.374,RUNNING,21,1860,,,,,,,
14.399,RUNNING,22,1820,,,,,,,
14.427,RUNNING,23,1820,,,,,,,
14.451,RUNNING,24,1880,,,,,,,
14.475,RUNNING,25,1880,,,,,,,
14.501,RUNNING,26,1840,,,,,,,
14.525,RUNNING,27,1860,,,,,,,
14.55,RUNNING,28,1860,,,,,,,
14.575,RUNNING,29,1840,,,,,,,
14.6,RUNNING,30,1860,,,,,,,
14.624,RUNNING,31,1860,,,,,,,
14.649,RUNNING,32,1840,,,,,,,
14.675,RUNNING,33,1860,,,,,,,
14.7,RUNNING,34,1840,,,,,,,
14.728,RUNNING,35,1800,,,,,,,
14.752,RUNNING,36,1820,,,,,,,
14.78,RUNNING,37,1840,,,,,,,
14.805,RUNNING,38,1820,,,,,,,
14.833,RUNNING,39,1860,,,,,,,
14.858,RUNNING,40,1860,,,,,,,
14.883,RUNNING,41,1820,,,,,,,
14.908,RUNNING,42,1860,,,,,,,
14.933,RUNNING,43,1860,,,,,,,
14.96,RUNNING,44,1840,,,,,,,
14.985,RUNNING,45,1860,,,,,,,
15.009,RUNNING,46,1860,,,,,,,
15.036,RUNNING,47,1840,,,,,,,
15.063,RUNNING,48,1860,,,,,,,
15.088,RUNNING,49,1840,,,,,,,
15.12,RUNNING,50,1820,,,,,,,
15.145,RUNNING,51,1860,,,,,,,
15.173,RUNNING,52,1860,,,,,,,
15.2,RUNNING,53,1840,,,,,,,
15.228,RUNNING,54,1860,,,,,,,
15.254,RUNNING,55,1860,,,,,,,
15.282,RUNNING,56,1820,,,,,,,
15.307,RUNNING,57,1860,,,,,,,
15.334,RUNNING,58,1840,,,,,,,
15.36,RUNNING,59,1840,,,,,,,
15.385,RUNNING,60,1880,,,,,,,
15.409,RUNNING,61,1860,,,,,,,
15.436,RUNNING,62,1840,,,,,,,
15.463,RUNNING,63,1880,,,,,,,
15.488,RUNNING,64,1880,,,,,,,
15.513,RUNNING,65,1840,,,,,,,
15.538,RUNNING,66,1860,,,,,,,
15.564,RUNNING,67,1880,,,,,,,
15.588,RUNNING,68,1860,,,,,,,
15.613,RUNNING,69,1860,,,,,,,
15.638,RUNNING,70,1860,,,,,,,
15.664,RUNNING,71,1840,,,,,,,
15.688,RUNNING,72,1860,,,,,,,
15.714,RUNNING,73,1860,,,,,,,
15.739,RUNNING,74,1860,,,,,,,
15.765,RUNNING,75,1880,,,,,,,
15.792,RUNNING,76,1880,,,,,,,
15.817,RUNNING,77,1840,,,,,,,
15.842,RUNNING,78,1860,,,,,,,
15.866,RUNNING,79,1880,,,,,,,
15.891,RUNNING,80,1840,,,,,,,
15.916,RUNNING,81,1860,,,,,,,
15.941,RUNNING,82,1880,,,,,,,
15.967,RUNNING,83,1840,,,,,,,
15.993,RUNNING,84,1840,,,,,,,
16.018,RUNNING,85,1880,,,,,,,
16.042,RUNNING,86,1860,,,,,,,
16.07,RUNNING,87,1840,,,,,,,
16.096,RUNNING,88,1860,,,,,,,
16.124,RUNNING,89,1880,,,,,,,
16.149,RUNNING,90,1880,,,,,,,
16.177,RUNNING,91,1880,,,,,,,
16.202,RUNNING,92,1860,,,,,,,
16.232,RUNNING,93,1860,,,,,,,
16.257,RUNNING,94,1860,,,,,,,
16.284,RUNNING,95,1860,,,,,,,
16.308,RUNNING,96,1860,,,,,,,
16.334,RUNNING,97,1860,,,,,,,
16.359,RUNNING,98,1820,,,,,,,
16.384,RUNNING,99,1820,,,,,,,
16.409,RUNNING,100,1860,,,,,,,
16.434,RUNNING,101,1860,,,,,,,
16.459,RUNNING,102,1860,,,,,,,
16.485,RUNNING,103,1880,,,,,,,
16.512,RUNNING,104,1880,,,,,,,
16.537,RUNNING,105,1860,,,,,,,
16.565,RUNNING,106,1900,,,,,,,
16.59,RUNNING,107,1860,,,,,,,
16.618,RUNNING,108,1860,,,,,,,
16.643,RUNNING,109,1900,,,,,,,
