Timestamp,OpModeStatus,Loop Counter,Battery
000.009,INIT,,12.327
003.155,RUNNING,0,10.291
003.184,RUNNING,1,10.522
003.207,RUNNING,2,10.824
003.230,RUNNING,3,10.951
003.252,RUNNING,4,11.077
003.275,RUNNING,5,11.265
003.298,RUNNING,6,11.340
003.321,RUNNING,7,11.379
003.343,RUNNING,8,11.458
003.365,RUNNING,9,11.558
003.388,RUNNING,10,11.558
003.411,RUNNING,11,11.593
003.433,RUNNING,12,11.654
003.456,RUNNING,13,11.646
003.479,RUNNING,14,11.685
003.501,RUNNING,15,11.676
003.524,RUNNING,16,11.689
003.547,RUNNING,17,11.715
003.569,RUNNING,18,11.724
003.592,RUNNING,19,11.720
003.614,RUNNING,20,11.742
003.637,RUNNING,21,11.768
003.660,RUNNING,22,11.755
003.682,RUNNING,23,11.737
003.705,RUNNING,24,11.724
003.728,RUNNING,25,11.750
003.750,RUNNING,26,11.720
003.773,RUNNING,27,11.720
003.796,RUNNING,28,11.750
003.819,RUNNING,29,11.755
003.841,RUNNING,30,11.737
003.864,RUNNING,31,11.777
003.886,RUNNING,32,11.799
003.911,RUNNING,33,11.772
003.934,RUNNING,34,11.799
003.956,RUNNING,35,11.790
003.980,RUNNING,36,11.750
004.002,RUNNING,37,11.781
004.025,RUNNING,38,11.799
004.048,RUNNING,39,11.794
004.070,RUNNING,40,11.777
004.093,RUNNING,41,11.772
004.116,RUNNING,42,11.777
004.138,RUNNING,43,11.790
004.161,RUNNING,44,11.772
004.184,RUNNING,45,11.750
004.207,RUNNING,46,11.772
004.230,RUNNING,47,11.742
004.253,RUNNING,48,11.746
004.276,RUNNING,49,11.768
004.300,RUNNING,50,11.755
004.322,RUNNING,51,11.737
004.345,RUNNING,52,11.764
004.367,RUNNING,53,11.759
004.390,RUNNING,54,11.746
004.412,RUNNING,55,11.750
004.435,RUNNING,56,11.777
004.458,RUNNING,57,11.759
004.481,RUNNING,58,11.746
004.504,RUNNING,59,11.755
004.527,RUNNING,60,11.807
004.550,RUNNING,61,11.750
004.579,RUNNING,62,11.742
004.602,RUNNING,63,11.790
004.625,RUNNING,64,11.781
004.648,RUNNING,65,11.750
004.670,RUNNING,66,11.772
004.693,RUNNING,67,11.781
004.716,RUNNING,68,11.772
004.741,RUNNING,69,11.746
004.764,RUNNING,70,11.781
004.786,RUNNING,71,11.768
004.809,RUNNING,72,11.737
004.832,RUNNING,73,11.764
004.854,RUNNING,74,11.785
004.878,RUNNING,75,11.733
004.900,RUNNING,76,11.724
004.923,RUNNING,77,11.777
004.946,RUNNING,78,11.807
004.968,RUNNING,79,11.707
004.991,RUNNING,80,11.777
005.016,RUNNING,81,11.794
005.038,RUNNING,82,11.737
005.062,RUNNING,83,11.772
005.085,RUNNING,84,11.781
005.107,RUNNING,85,11.781
005.130,RUNNING,86,11.759
005.153,RUNNING,87,11.768
005.176,RUNNING,88,11.781
005.199,RUNNING,89,11.768
005.221,RUNNING,90,11.772
005.244,RUNNING,91,11.772
005.267,RUNNING,92,11.785
005.289,RUNNING,93,11.755
005.312,RUNNING,94,11.764
005.335,RUNNING,95,11.799
005.358,RUNNING,96,11.764
005.380,RUNNING,97,11.733
005.405,RUNNING,98,11.777
005.428,RUNNING,99,11.768
005.450,RUNNING,100,11.768
005.473,RUNNING,101,11.790
005.496,RUNNING,102,11.772
005.519,RUNNING,103,11.781
005.541,RUNNING,104,11.777
005.564,RUNNING,105,11.794
005.587,RUNNING,106,11.768
005.609,RUNNING,107,11.750
005.634,RUNNING,108,11.759
005.657,RUNNING,109,11.794
005.679,RUNNING,110,11.750
005.702,RUNNING,111,11.742
005.725,RUNNING,112,11.777
005.748,RUNNING,113,11.759
005.771,RUNNING,114,11.733
005.795,RUNNING,115,11.750
005.818,RUNNING,116,11.772
005.841,RUNNING,117,11.729
005.864,RUNNING,118,11.746
005.887,RUNNING,119,11.768
005.909,RUNNING,120,11.750
005.932,RUNNING,121,11.746
005.955,RUNNING,122,11.755
005.978,RUNNING,123,11.742
006.000,RUNNING,124,11.742
006.023,RUNNING,125,11.750
006.046,RUNNING,126,11.781
006.070,RUNNING,127,11.772
006.092,RUNNING,128,11.746
006.115,RUNNING,129,11.764
006.138,RUNNING,130,11.777
006.161,RUNNING,131,11.759
006.183,RUNNING,132,11.746
006.206,RUNNING,133,11.781
006.229,RUNNING,134,11.777
006.252,RUNNING,135,11.759
006.275,RUNNING,136,11.794
006.298,RUNNING,137,11.759
006.320,RUNNING,138,11.746
006.343,RUNNING,139,11.759
006.365,RUNNING,140,11.781
006.388,RUNNING,141,11.755
006.410,RUNNING,142,11.720
006.433,RUNNING,143,11.772
006.456,RUNNING,144,11.790
006.478,RUNNING,145,11.733
006.501,RUNNING,146,11.768
006.524,RUNNING,147,11.785
006.546,RUNNING,148,11.737
006.569,RUNNING,149,11.729
006.592,RUNNING,150,11.759
006.614,RUNNING,151,11.777
006.637,RUNNING,152,11.729
006.660,RUNNING,153,11.755
006.682,RUNNING,154,11.799
006.705,RUNNING,155,11.790
006.727,RUNNING,156,11.759
006.750,RUNNING,157,11.777
006.772,RUNNING,158,11.772
006.795,RUNNING,159,11.750
006.817,RUNNING,160,11.768
006.841,RUNNING,161,11.746
006.863,RUNNING,162,11.764
006.885,RUNNING,163,11.724
006.908,RUNNING,164,11.768
